OBJECTID,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_INCIDENT_NUMBER,ICS_209_NAME,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME,Shape
555453,597238,SFO-NJ0285-99_B071806,NONFED,ST-NASF,ST/C&L,USNJNJS,"New Jersey Forest Fire Service",NJNJB,"New Jersey Forest Fire Service Division B",,B071806,,,,,,,,1999,2451377.5,199,,7.0,Arson,,,,0.25,A,40.0125,-74.3,14.0,"MISSING/NOT SPECIFIED",NJ,Ocean,029,Ocean,""
399012,432738,SFO-FL02370707-2007-10-0897,NONFED,ST-NASF,ST/C&L,USFLFLS,"Florida Forest Service",FLFLS,"Florida Forest Service",,10-0897,,"OLD PIONEER ROAD",FL-FLS-2007-10-0897,"OLD PIONEER ROAD",,,,2007,2454338.5,238,,1.0,Lightning,,,,257.60001,D,29.12972,-81.07361,14.0,"MISSING/NOT SPECIFIED",FL,Volusia,127,Volusia,""
896335,1022212,SWRA_LA_24451,NONFED,ST-LALAS,ST/C&L,USLALAS,"Louisiana Office of Forestry",LALAS2,"LAS District 2",,LA2-01,,,,,,,,2002,2452300.5,26,,5.0,"Debris Burning",,,,2.0,B,30.7658,-91.9461,14.0,"MISSING/NOT SPECIFIED",LA,,,,""
234517,238669,W-8419,FED,DOI-WFMI,BLM,USORVAD,"Vale District",ORVAD,"Vale District",,,M921,BONITA,,,OR4425411786519980814,BONITA,,1998,2451039.5,226,1700,1.0,Lightning,2451039.5,226,2359,2198.0,F,44.2613,-117.878,8.0,PRIVATE,OR,,,,""
892987,1018659,SWRA_LA_20898,NONFED,ST-LALAS,ST/C&L,USLALAS,"Louisiana Office of Forestry",LALAS3,"LAS District 3",,LA3-N6,,,,,,,,2000,2451793.5,250,,9.0,Miscellaneous,,,,2.0,B,31.7517,-92.0089,14.0,"MISSING/NOT SPECIFIED",LA,,,,""
1723320,300001415,FS-1526972,FED,FS-FIRESTAT,FS,USTXTXF,"National Forests And Grasslands In Texas",0813,"National Forests In Texas",025,04,EK28,"FISHING PIER",,,,,,2014,2456965.5,308,1400,4.0,Campfire,2456965.5,308,1430,0.25,A,33.39583333,-97.74888889,5.0,USFS,TX,Wise,497,Wise,""
169499,171161,FS-399788,FED,FS-FIRESTAT,FS,USMOMTF,"Mark Twain National Forest",0905,"Mark Twain National Forest",165,,,538,,,,,,2004,2453285.5,281,1730,7.0,Arson,2453285.5,281,2200,7.37,B,37.51277778,-91.36277778,13.0,"STATE OR PRIVATE",MO,,,,""
1047484,1177437,TFS_NC_226494,NONFED,ST-NCNCS,ST/C&L,USNCNCS,"North Carolina Forest Service",NCNCS104,"NCS Region 1 District 4",,02-067,,"TAR LANDING",,,,,,2002,2452610.5,336,,5.0,"Debris Burning",,,,10.0,C,34.5,-77.4833,14.0,"MISSING/NOT SPECIFIED",NC,,,,""
736175,835325,SC_13040,NONFED,ST-SCSCS,ST/C&L,USSCSCS,"South Carolina Forestry Commission",SCSCS,"South Carolina Forestry Commission",,,,,,,,,,1994,2449434.5,82,,13.0,Missing/Undefined,2449434.5,82,1155,2.0,B,33.69166667,-79.75416667,14.0,"MISSING/NOT SPECIFIED",SC,89,089,Williamsburg,""
987166,1116055,TFS_FL_75234,NONFED,ST-FLFLS,ST/C&L,USFLFLS,"Florida Forest Service",FLFLS18,"FLS Everglades District",,0129,,,,,,,,2000,2451678.5,135,,9.0,Miscellaneous,,,,6.0,B,26.6011,-80.2789,14.0,"MISSING/NOT SPECIFIED",FL,"Palm Beach",099,"Palm Beach",""
883339,1006014,SWRA_GA_61880,NONFED,ST-GAGAS,ST/C&L,USGAGAS,"Georgia Forestry Commission",GAGAS31,"GAS Unit 31",,3.3084,,,,,,,,1999,2451280.5,102,,5.0,"Debris Burning",,,,1.1,B,32.3383,-83.3083,14.0,"MISSING/NOT SPECIFIED",GA,,,,""
312662,318925,W-569602,FED,DOI-WFMI,BLM,USCACND,"Central California District",CABBD,"Bakersfield District",,,D44Z,MILANI,,,,,,2006,2453898.5,163,1332,2.0,"Equipment Use",2453898.5,163,1357,0.1,A,37.707217,-120.199656,8.0,PRIVATE,CA,Mariposa,043,Mariposa,""
1549958,201406893,TFS-TXFD2011-317353,NONFED,ST-TXTXS,ST/C&L,USTXTXS,"Texas A & M Forest Service",TXSFD,"Spring Branch Fire Rescue- Comal County ESD #4",,317353,,11-0020705,,,,,,2011,2455598.5,37,,5.0,"Debris Burning",,,,2.0,B,29.8311897,-98.3972587,13.0,"STATE OR PRIVATE",TX,Comal,091,Comal,""
465521,500504,SFO-ID0043_9901994024,NONFED,ST-NASF,ST/C&L,USIDIDS,"Idaho Department of Lands",ID990,"IDS District 990",,,,,,,,,,1994,2449542.5,190,,13.0,Missing/Undefined,,,,0.1,A,46.59852,-116.406025,14.0,"MISSING/NOT SPECIFIED",ID,Clearwater,035,Clearwater,""
1260138,1663419,SFO-GA-FY2002-Warren-015,NONFED,ST-NASF,ST/C&L,USGAGAS,"Georgia Forestry Commission",GAGAS,"Georgia Forestry Commission",,FY2002-Warren-015,,FY2002-WARREN-015,,,,,,2002,2452302.5,28,1050,5.0,"Debris Burning",2452302.5,28,1050,0.25,A,33.418,-82.604,7.0,STATE,GA,Warren,301,Warren,""
854116,976004,SWRA_AL_49431,NONFED,ST-ALALS,ST/C&L,USALALS,"Alabama Forestry Commission",ALALS2,"AFC District 2",,86.770,,,,,,,,2001,2451913.5,4,,7.0,Arson,,,,0.3,B,33.1911,-86.7703,14.0,"MISSING/NOT SPECIFIED",AL,,,,""
119458,120657,FS-345697,FED,FS-FIRESTAT,FS,USIDBOF,"Boise National Forest",0402,"Boise National Forest",41,,1509,KNOB,,,,,,1999,2451395.5,217,1436,1.0,Lightning,2451396.5,218,1130,0.3,B,44.05166667,-115.73555556,5.0,USFS,ID,,,,""
454529,488831,SFO-GA0403-36-283-0058-03,NONFED,ST-NASF,ST/C&L,USGAGAS,"Georgia Forestry Commission","GA McRae","GAS Ogeechee District, McRae Office",,,,,,,,,,2008,2454526.5,61,,2.0,"Equipment Use",,,,0.6,B,32.35745428,-82.60207399,14.0,"MISSING/NOT SPECIFIED",GA,Treutlen,283,Treutlen,""
1773162,300119076,SFO-2014GAGAS-FY2015-Talbot-001,NONFED,ST-NASF,ST/C&L,USGAGAS,"Georgia Forestry Commission",GAGAS,"Georgia Forestry Commission",,FY2015-Talbot-001,,FY2015-TALBOT-001,,,,,,2014,2456884.5,227,2019,8.0,Children,2456884.5,227,2205,1.39,B,32.60861111,-84.445,8.0,PRIVATE,GA,"Talbot              ",263,Talbot,""
1732752,300019216,W-668117,FED,DOI-WFMI,BIA,USNDTMA,"Turtle Mountain Agency",NDTMA,"Turtle Mountain Agency",17,,H3LV,INTERSECTION,,,,,,2014,2456768.5,111,1730,7.0,Arson,2456768.5,111,1800,0.3,B,48.8492,-100.0517,2.0,BIA,ND,,,,""
1068544,1303721,"CDF_1997_56_2229_282         ",NONFED,ST-CACDF,ST/C&L,USCABEU,"San Benito-Monterey Unit",CABEU,"CDF - San Benito-Monterey Unit",,"282         ",,"EGLAND                   ",,,,,,1997,2450634.5,186,,2.0,"Equipment Use",,,,0.2,A,36.89,-121.57111111,14.0,"MISSING/NOT SPECIFIED",CA,,,,""
1525789,201338470,TFS-TX2011-78358,NONFED,ST-TXTXS,ST/C&L,USTXHAS,"Texas Forest Service - Henderson Area",TXHAS,"Texas Forest Service - Henderson Area",240,78358,,"HENDERSON - 240",,,,,,2011,2455743.5,182,1731,1.0,Lightning,2455743.5,182,1830,1.0,B,32.26861111,-94.23689,13.0,"STATE OR PRIVATE",TX,Panola,365,Panola,""
1839535,300263002,SFO-2015ALAFC054072,NONFED,ST-NASF,ST/C&L,USALALS,"Alabama Forestry Commission",ALAFC,"Alabama Forestry Commission",,054072,,ECR-20150215-006,,,,,,2015,2457068.5,46,,9.0,Miscellaneous,2457068.5,46,,0.1,A,32.283609,-85.821394,14.0,"MISSING/NOT SPECIFIED",AL,Macon,087,Macon,""
779161,883077,SCHMIDT_40013216,NONFED,ST-OKOKS,ST/C&L,USOKOKS,"Oklahoma Division of Forestry",OKOKS,"Oklahoma Division of Forestry",,,,,,,,,,1995,2450045.5,328,1450,13.0,Missing/Undefined,2450045.5,328,1640,8.0,B,35.02230084,-94.93489837,14.0,"MISSING/NOT SPECIFIED",OK,Latimer,077,Latimer,""
307597,313674,W-526499,FED,DOI-WFMI,BLM,USAZASD,"Arizona Strip Field Office",AZASD,"Arizona Strip Field Office",,,C1ZZ,"SAWMILL 2",,,,,,2006,2453944.5,209,1717,1.0,Lightning,2453945.5,210,1200,0.1,A,36.22,-113.1911,1.0,BLM,AZ,Mohave,015,Mohave,""
1691050,201861097,TFS-TXFD2013-468804,NONFED,ST-TXTXS,ST/C&L,USTXTXS,"Texas A & M Forest Service",TXVFD,"Howard County VFD",,468804,,"S 87 AND 461",,,,,,2013,2456527.5,235,,9.0,Miscellaneous,,,,0.5,B,32.106899,-101.415335,8.0,PRIVATE,TX,Howard,227,Howard,""
233324,237439,W-40878,FED,DOI-WFMI,BLM,USORPRD,"Prineville District",ORPRD,"Prineville District",,,N445,RHUBARB,,,,,,1992,2448797.5,176,1944,1.0,Lightning,2448798.5,177,1600,0.2,A,43.7165,-120.2511,1.0,BLM,OR,,,,""
1160057,1411063,ALS-MGM-20060204-002,NONFED,ST-ALALS,ST/C&L,USALALS,"Alabama Forestry Commission",ALMGM,"AFC Montogomery",002,MGM-20060204-002,,,,,,,,2006,2453770.5,35,1452,5.0,"Debris Burning",2453770.5,35,1558,3.5,B,31.299301,-86.539239,14.0,"MISSING/NOT SPECIFIED",AL,Covington,039,Covington,""
486916,523894,SFO-MN0349-1898,NONFED,ST-NASF,ST/C&L,USMNMNS,"Minnesota Department of Natural Resources",MNMNS,"Minnesota Department of Natural Resources",,,,,,,,,,2003,2452742.5,103,,5.0,"Debris Burning",,,,0.1,A,47.14344483,-93.40911708,14.0,"MISSING/NOT SPECIFIED",MN,Itasca,061,Itasca,""
459166,493491,SFO-GA0456-36-091-0070-02,NONFED,ST-NASF,ST/C&L,USGAGAS,"Georgia Forestry Commission","GA McRae","GAS Ogeechee District, McRae Office",,,,,,,,,,2009,2454886.5,55,,5.0,"Debris Burning",,,,23.87,C,32.28514095,-83.27118796,14.0,"MISSING/NOT SPECIFIED",GA,Dodge,091,Dodge,""
1143598,1393682,"CDF_2007_55_2227_004587      ",NONFED,ST-CACDF,ST/C&L,USCASLU,"San Luis Obispo Unit",CASLU,"San Luis Obispo Unit",,"004587      ",,"CAMP SLO SLO_CO 8        ",,,,,,2007,2454273.5,173,,9.0,Miscellaneous,,,,1.0,B,35.325,-120.72888888,14.0,"MISSING/NOT SPECIFIED",CA,,,,""
1071779,1307243,"CDF_1993_56_2230_11068       ",NONFED,ST-CACDF,ST/C&L,USCAFKU,"Fresno-Kings Unit",CAFKU,"CDF - Fresno-Kings Unit",,"11068       ",,"SHELL OIL #2             ",,,,,,1993,2449160.5,173,,9.0,Miscellaneous,,,,1.0,B,36.23194444,-120.31,14.0,"MISSING/NOT SPECIFIED",CA,,,,""
714297,810010,SCHMIDT_23006244,NONFED,ST-MEMES,ST/C&L,USMEMES,"Maine Forest Service",MEMES,"Maine Forest Service",,,,"MT. CHASE",,,,,,1993,2449246.5,259,,2.0,"Equipment Use",,,,0.1,A,46.09999864,-68.44999732,14.0,"MISSING/NOT SPECIFIED",ME,Penobscot,019,Penobscot,""
106356,107486,FS-332454,FED,FS-FIRESTAT,FS,USORWIF,"Willamette National Forest",0618,"Willamette National Forest",52,,0001,"NORTH CRESENT",,,,,,1998,2451023.5,210,1530,1.0,Lightning,2451024.5,211,1200,0.1,A,44.46666667,-122.07166667,5.0,USFS,OR,,,,""
1103614,1343501,"CDF_1999_53_2214_302         ",NONFED,ST-CACDF,ST/C&L,USCASCU,"Santa Clara Unit",CASCU,"Santa Clara Unit",,"302         ",,"PG&E #4                  ",,,,,,1999,2451421.5,243,,2.0,"Equipment Use",,,,5.0,B,37.02,-121.72194444,14.0,"MISSING/NOT SPECIFIED",CA,,,,""
316229,322753,W-513745,FED,DOI-WFMI,BLM,USCACDD,"California Desert District",CACDD,"California Desert District",,,B9EC,"FOR DUNER",,,,,,2005,2453697.5,327,2236,13.0,Missing/Undefined,2453697.5,327,2247,0.1,A,32.9922,-115.0792,1.0,BLM,CA,Imperial,025,Imperial,""
1240695,1643792,SFO-GA-FY2000-Stephens-057,NONFED,ST-NASF,ST/C&L,USGAGAS,"Georgia Forestry Commission",GAGAS,"Georgia Forestry Commission",,FY2000-Stephens-057,,FY2000-STEPHENS-057,,,,,,2000,2451631.5,88,1315,5.0,"Debris Burning",2451631.5,88,1315,0.36,B,34.5495,-83.2527,8.0,PRIVATE,GA,Stephens,257,Stephens,""
1606688,201627762,SFO-AR-2012-AR8/17/201220592,NONFED,ST-NASF,ST/C&L,USARARS,"Arkansas Forestry Commission",AFC,"Arkansas Forestry Commission",,AR8/17/201220592,,,,,,,,2012,2456156.5,230,1455,2.0,"Equipment Use",2456156.5,230,1615,2.0,B,33.09067,-92.00844,8.0,PRIVATE,AR,ASHLEY,003,Ashley,""
691551,769250,MSARCH_4962,NONFED,ST-MSMSS,ST/C&L,USMSMSS,"Mississippi Forestry Commission",MSMSS,"Mississippi Forestry Commission",,,,,,,,,,1993,2449094.5,107,2235,5.0,"Debris Burning",2449094.5,107,2345,6.0,B,32.97025824,-89.56200999,14.0,"MISSING/NOT SPECIFIED",MS,Attala,007,Attala,""
1051858,1181851,TFS_NC_230915,NONFED,ST-NCNCS,ST/C&L,USNCNCS,"North Carolina Forest Service",NCNCS302,"NCS Region 3 District 2",,02-097,,BENGE,,,,,,2002,2452325.5,51,,7.0,Arson,,,,0.2,A,36.3333,-81.0167,14.0,"MISSING/NOT SPECIFIED",NC,,,,""
1387866,19083664,SFO-GA-TRO-24-4/4/1995-1310,NONFED,ST-GAGAS,ST/C&L,USGAGAS,"Georgia Forestry Commission",GAGAS,"Georgia Forestry Commission",,24,,,,,,,,1995,2449811.5,94,1310,9.0,Miscellaneous,2449811.5,94,1405,2.15,B,33.0246,-85.0956,8.0,PRIVATE,GA,"Troup               ",285,Troup,""
221226,224616,W-1936,FED,DOI-WFMI,BLM,USCOCRD,"Northwest District",COCRD,"Western Slope Center, Craig",,,V045,LITTLESNAK,,,,,,1999,2451387.5,209,1347,1.0,Lightning,2451388.5,210,1800,1.0,B,40.7536,-108.1826,1.0,BLM,CO,Moffat,081,Moffat,""
1872078,300308438,SFO-2015CACDFBDU015599,NONFED,ST-NASF,ST/C&L,USCABDU,"San Bernardino Unit",CABDU,"CDF - San Bernardino Unit",,BDU015599,,ELM,,,,,,2015,2457356.5,334,2227,7.0,Arson,,,,0.05,A,34.124843,-117.245297,14.0,"MISSING/NOT SPECIFIED",CA,"SAN BERNARDINO",071,"San Bernardino",""
1119727,1364537,"CDF_1996_54_2218_112         ",NONFED,ST-CACDF,ST/C&L,USCASHU,"Shasta-Trinity Unit",CASHU,"Shasta-Trinity Unit",,"112         ",,"B 5 - 1                  ",,,,,,1996,2450215.5,133,,7.0,Arson,,,,0.1,A,40.86305555,-121.565,14.0,"MISSING/NOT SPECIFIED",CA,,,,""
851348,973105,SWRA_AL_46452,NONFED,ST-ALALS,ST/C&L,USALALS,"Alabama Forestry Commission",ALALS4,"AFC District 4",,87.380,,,,,,,,2000,2451820.5,277,,5.0,"Debris Burning",,,,2.0,B,32.4903,-87.3808,14.0,"MISSING/NOT SPECIFIED",AL,,,,""
259912,264956,W-588747,FED,DOI-WFMI,BIA,USNEWIA,"Winnebago Agency",NEWIA,"Winnebago Agency",41,,EUC6,CASINO,,,,,,2009,2454935.5,104,1445,5.0,"Debris Burning",2454935.5,104,1520,2.0,B,42.0883,-96.3272,2.0,BIA,NE,,,,""
373549,385853,FWS-2009ILCYRE0CL,FED,FWS-FMIS,FWS,USILCYR,"Cypress Creek National Wildlife Refuge",ILCYR,"Cypress Creek National Wildlife Refuge",,,E0CL,BETHANY,,,,,,2009,2455011.5,180,1515,13.0,Missing/Undefined,2455012.5,181,1830,40.0,C,37.33722222,-89.04444444,4.0,FWS,IL,,,,""
608091,655954,SFO-TX01430695-11142986,NONFED,ST-NASF,ST/C&L,USTXWAS,"Texas Forest Service - Woodville Area",TXWAS,"Texas Forest Service - Woodville Area",,,,,,,,,,1995,2449972.5,255,,5.0,"Debris Burning",,,,2.0,B,31.13542,-93.98125,14.0,"MISSING/NOT SPECIFIED",TX,Jasper,241,Jasper,""
1092354,1330693,"CDF_1996_53_2209_269         ",NONFED,ST-CACDF,ST/C&L,USCACZU,"San Mateo-Santa Cruz Unit",CACZU,"San Mateo-Santa Cruz Unit",,"269         ",,"RIVA #1                  ",,,,,,1996,2450286.5,204,,7.0,Arson,,,,0.1,A,37.14888888,-121.99305555,14.0,"MISSING/NOT SPECIFIED",CA,,,,""
974451,1102964,TFS_FL_57097,NONFED,ST-FLFLS,ST/C&L,USFLFLS,"Florida Forest Service",FLFLS10,"FLS Bunnell District",,0035,,,,,,,,1994,2449424.5,72,,2.0,"Equipment Use",,,,2.0,B,29.43,-81.3,14.0,"MISSING/NOT SPECIFIED",FL,Flagler,035,Flagler,""
1190622,1444531,SFO-2010-NY332237,NONFED,ST-NASF,ST/C&L,USNYNYX,"Fire Department of New York",NYNYX,"Fire Department of New York",,,,,,,,,,2010,2455294.5,98,,3.0,Smoking,,,,0.1,A,43.27640953,-75.42392597,14.0,"MISSING/NOT SPECIFIED",NY,ONEIDA,065,Oneida,""
1493881,201164381,2011FLFLS2011080832,NONFED,ST-NASF,ST/C&L,USFLFLS,"Florida Forest Service",FLFLS,"Florida Forest Service",,2011080832,,"PELICAN (38)",,,,,,2011,2455822.5,261,1516,8.0,Children,2455822.5,261,1813,11.0,C,29.2348,-82.9651,8.0,PRIVATE,FL,Levy,075,Levy,""
1670055,201832764,SFO-2013PADCNR17(13)1-038,NONFED,ST-NASF,ST/C&L,USPAPAS,"Pennsylvania Division of Forest Fire Protection",PADCNR,"Pennsylvania Department of Conservation and Natural Resources",,17(13)1-038,,"DURYEA DRIVE",,,,,,2013,2456405.5,113,1925,7.0,Arson,2456405.5,113,1940,0.01,A,40.33417,-75.90472,14.0,"MISSING/NOT SPECIFIED",PA,BERKS,011,Berks,""
1102433,1342275,"CDF_1993_53_2214_10346       ",NONFED,ST-CACDF,ST/C&L,USCASCU,"Santa Clara Unit",CASCU,"Santa Clara Unit",,"10346       ",,"THOMAS                   ",,,,,,1993,2449226.5,239,,2.0,"Equipment Use",,,,0.1,A,36.99,-121.57194444,14.0,"MISSING/NOT SPECIFIED",CA,,,,""
707159,785065,MSARCH_30719,NONFED,ST-MSMSS,ST/C&L,USMSMSS,"Mississippi Forestry Commission",MSMSS,"Mississippi Forestry Commission",,,,,,,,,,1996,2450137.5,55,1850,7.0,Arson,2450137.5,55,2030,5.0,B,32.83909077,-89.70575704,14.0,"MISSING/NOT SPECIFIED",MS,Leake,079,Leake,""
867336,989669,ODF-82159,NONFED,ST-ORORS,ST/C&L,USOR973S,"Pendleton Unit",ORODF-973,"Pendleton Unit",034,82159,,"CAMAS KNOB",OR-97S-034,"Camas Knob",,,,2008,2454693.5,228,,1.0,Lightning,2454696.5,231,,124.0,D,45.115,-118.97806,7.0,STATE,OR,30,059,Umatilla,""
548405,589791,SFO-NJ0285-94_B042214,NONFED,ST-NASF,ST/C&L,USNJNJS,"New Jersey Forest Fire Service",NJNJB,"New Jersey Forest Fire Service Division B",,B042214,,,,,,,,1994,2449464.5,112,,8.0,Children,,,,0.75,B,39.9,-74.16666,14.0,"MISSING/NOT SPECIFIED",NJ,Ocean,029,Ocean,""
1749645,300090568,SFO-2014GAGAS-FY2014-Evans-013,NONFED,ST-NASF,ST/C&L,USGAGAS,"Georgia Forestry Commission",GAGAS,"Georgia Forestry Commission",,FY2014-Evans-013,,FY2014-EVANS-013,,,,,,2014,2456684.5,27,1400,5.0,"Debris Burning",2456684.5,27,1436,1.3,B,32.22988889,-81.91236111,8.0,PRIVATE,GA,"Evans               ",109,Evans,""
1274703,1722352,SFO-MI-1804,NONFED,ST-NASF,ST/C&L,USMIMIS,"Michigan Department of Natural Resources",MIDNR,"Michigan Department of Natural Resources",,1804,,,,,,,,2006,2453938.5,203,1830,5.0,"Debris Burning",2453938.5,203,,0.1,A,46.19,-88.44,14.0,"MISSING/NOT SPECIFIED",MI,Iron,071,Iron,""
572268,617393,SFO-PA0517051023,NONFED,ST-NASF,ST/C&L,USPAPAS,"Pennsylvania Division of Forest Fire Protection",PAPA17,"PAS District 17",,,,,,,,,,2005,2453476.5,106,,7.0,Arson,,,,11.5,C,40.31721998,-75.88498998,14.0,"MISSING/NOT SPECIFIED",PA,Berks,011,Berks,""
1215080,1472269,W-603144,FED,DOI-WFMI,BIA,USAZSCA,"San Carlos Agency",AZSCA,"San Carlos Agency",56,,FEY1,BOOTLEG,,,,,,2010,2455343.5,147,2355,7.0,Arson,2455344.5,148,0115,2.0,B,33.3486,-110.45328,2.0,BIA,AZ,,,,""
1168221,1419307,MSARCH_38668,NONFED,ST-MSMSS,ST/C&L,USMSMSS,"Mississippi Forestry Commission",MSMSS,"Mississippi Forestry Commission",,1,,,,,,,,1998,2450884.5,71,0936,7.0,Arson,2450884.5,71,1040,5.0,B,31.60332028,-90.22558434,14.0,"MISSING/NOT SPECIFIED",MS,Lawrence,077,Lawrence,""
573828,618962,SFO-SC01050506-6FF0811,NONFED,ST-NASF,ST/C&L,USSCSCS,"South Carolina Forestry Commission",SCSCS,"South Carolina Forestry Commission",,,,,,,,,,2006,2453811.5,76,,7.0,Arson,,,,70.0,C,33.41666997,-79.68332998,14.0,"MISSING/NOT SPECIFIED",SC,Williamsburg,089,Williamsburg,""
1513016,201197147,2011CACDFFKU011341,NONFED,ST-NASF,ST/C&L,USCAFKU,"Fresno-Kings Unit",CAFKU,"CDF - Fresno-Kings Unit",,FKU011341,,"E JENSEN AV /S MCCALL AV",,,,,,2011,2455823.5,262,1517,13.0,Missing/Undefined,,,,0.01,A,36.706593,-119.61019,14.0,"MISSING/NOT SPECIFIED",CA,FRESNO,019,Fresno,""
